NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Jordan Peterson,W,,,,,,,,
Jon Jones,B,,,,,,,,
Hank Shaw,W,,,,,,,,
James Hetfield,W,,,,,,,,
Ron White,W,,,,,,,,
Brendan Schaud,W,,,,,,,,
Zach Leary,W,,,,,,,,
Young Jamie,W,,,,,,,,
Hunter Maats,W,,,,,,,,
Mauro Ranallo,W,,,,,,,,
Joseph Valtellini,W,,,,,,,,
Andrew Santino,W,,,,,,,,
Gary Taubes,J,,,,,,,,
Henry Rollins,J,,,,,,,,
Leah Remini,J,,,,,,,,
Gary Vaynerchuk,J,,,,,,,,
Ryan Callaghan,W,,,,,,,,
Kenton Carruth,W,,,,,,,,
Frank Castillo,X,,,,,,,,
Neil deGrasse Tyson,B,,,,,,,,
Dominick Cruz,H,,,,,,,,
Alberto Gallazzi,W,,,,,,,,
Arian Foster,B,,,,,,,,
Dan Pena,W,,,,,,,,
Will MacAskill,W,,,,,,,,
TJ Kirk,W,,,,,,,,
Julie Kedzie,W,,,,,,,,
Colin Moriarty,W,,,,,,,,
Lawrence Krauss,J,,,,,,,,
Chris Cage,W,,,,,,,,
Dan Harris,J,,,,,,,,
Dan Flores,W,,,,,,,,
Moshe Kasher,J,,,,,,,,
Scott Eastwood,W,,,,,,,,
Dr. Roddy McGee,W,,,,,,,,
Ron Miscavige,W,,,,,,,,
Shirley Manson,W,,,,,,,,
Justin Brown,W,,,,,,,,
Guy Ritchie,W,,,,,,,,
Robert Sapolsky,J,,,,,,,,
Kelly Brogan,W,,,,,,,,
Bret Weinstein,J,,,,,,,,
Megan Phelps-Roper,W,,,,,,,,
Sebastian Junger,J,,,,,,,,
Morgan Murphy,J,,,,,,,,
Jeff Evans,W,,,,,,,,
Judd Apatow,J,,,,,,,,
Yvette d’Entremont,J,,,,,,,,
Ben O’Brien,W,,,,,,,,
Nick Swardson,W,,,,,,,,
Dorian Yates,W,,,,,,,,
Jamie Foxx,B,,,,,,,,
Ben Shapiro,J,,,,,,,,
Dom D’Agostino,W,,,,,,,,
Dr. Andy Galpin,W,,,,,,,,
Pauly Shore,J,,,,,,,,
Tom Bilyeu,W,,,,,,,,
Sean Carroll,W,,,,,,,,
Cody Garbrandt,W,,,,,,,,
James Damore,W,,,,,,,,
Reggie Watts,B,,,,,,,,
Bryan Fogel,J,,,,,,,,
Amy Alkon,J,,,,,,,,
Eric Weinstein,J,,,,,,,,
Courtney Dauwalter,W,,,,,,,,
Tom DeLonge,W,,,,,,,,
Paul Stamets,W,,,,,,,,
Bill Corgan,W,,,,,,,,
Krystyna Hutchinson,W,,,,,,,,
Corinne Fisher,J,,,,,,,,
C.T. Fletcher,W,,,,,,,,
Owen Smith,B,,,,,,,,
Chris Stapleton,W,,,,,,,,
Dr. Shawn Baker,W,,,,,,,,
Eddie Pepitone,J,,,,,,,,
Nina Teicholz,W,,,,,,,,
Jeff Warren,W,,,,,,,,
Jessica Rosenworcel,J,,,,,,,,
Danica Patrick,W,,,,,,,,
Mel Gibson,W,,,,,,,,
Dr. Neil Riordan,W,,,,,,,,
Ben Greenfield,W,,,,,,,,
NotGayJared,W,,,,,,,,
Steven Pinker,J,,,,,,,,
Johann Hari,W,,,,,,,,
Jimmy Dore,W,,,,,,,,
David Goggins,W,,,,,,,,
Heather Heying,W,,,,,,,,
Douglas Murray,W,,,,,,,,
Kyle Kulinski,W,,,,,,,,
Mary Lynn Rajskub,W,,,,,,,,
T.J. English,W,,,,,,,,
,,,,,,,,,
Liz Phair,W,,,,,,,,
Boyan Slat,W,,,,,,,,
Michael Hunter,W,,,,,,,,
Coloin Noir,B,,,,,,,,
Maajid Nawaz,M,,,,,,,,
Peter Attia,W,,,,,,,,
Matthew Walker,W,,,,,,,,
Zach Bitter,W,,,,,,,,
Matt Taibbi,X,,,,,,,,
